SEED,protected_att,target,method,anon_parameter,fraction,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,SEX,PINCP,k-anonymity,10,0.1,0.2225576631830794,0.1575649242398719,0.01829194428320735,0.126997847420249,0.07930046663019574,0.7536497446680684,0.7574601484636088,0.7430229184798376,0.7724695379418507,0.7537251950120933,"[[12283  4429]
 [ 3772 12806]]",0.122676,3.0460214614868164,0.086399876
1,SEX,PINCP,k-anonymity,10,0.1,0.21348435624351741,0.15288515779850242,0.013938097343769162,0.1280451422582098,0.06215679795073348,0.7533493541604085,0.7558938074144543,0.7454556115867246,0.76662847494422,0.7533986332343654,"[[12366  4341]
 [ 3870 12713]]",0.11996059,2.8033076038198144,0.08631817
2,SEX,PINCP,k-anonymity,10,0.1,0.21138220054310297,0.14452773613193404,0.012374176938736325,0.12570843825247122,0.06894035673422272,0.7520576749774707,0.7560586357725498,0.7453528349163802,0.7670764617691155,0.7520305570958126,"[[12245  4370]
 [ 3884 12791]]",0.11696995,2.6307013034820557,0.08389336
3,SEX,PINCP,k-anonymity,10,0.1,0.22164695771825071,0.16218859992313694,0.01970121749427345,0.13049979306002038,0.0646029538658891,0.7555422048663262,0.761166872101896,0.7515938333140142,0.770986920332937,0.7553780989035663,"[[12184  4286]
 [ 3852 12968]]",0.121736005,2.962374192586056,0.08697728
4,SEX,PINCP,k-anonymity,10,0.1,0.2307576035452037,0.16380750097529506,0.01630595432423576,0.13974719790213366,0.06981118496470962,0.7544908380895163,0.7592990723015756,0.7426546837193225,0.7767066337289872,0.754554718649673,"[[12226  4467]
 [ 3706 12891]]",0.123346806,2.538806915283203,0.0876017
5,SEX,PINCP,k-anonymity,10,0.1,0.24355065867364672,0.1717533229717214,0.01061970723889949,0.15612882224355065,0.06212360144165696,0.7521177530790027,0.7555252710789833,0.7429353842568316,0.7685492134289675,0.7521708879289277,"[[12287  4412]
 [ 3840 12751]]",0.12427311,2.90546087405774,0.089532815
6,SEX,PINCP,k-anonymity,10,0.1,0.2157961313621789,0.149724754878505,0.01625600950396744,0.12140033777564083,0.07331209209966161,0.7582457194352659,0.7615831259627919,0.751168770453483,0.7722903148281663,0.7582465631572046,"[[12388  4258]
 [ 3790 12854]]",0.115259536,2.8536374633689614,0.08391987
7,SEX,PINCP,k-anonymity,10,0.1,0.22330491789030243,0.16882964183869686,0.01766687455259941,0.13481416137318364,0.059936356785600386,0.7528687293481526,0.7552143771013717,0.7441655916500528,0.7665961945031713,0.7529425549749199,"[[12372  4363]
 [ 3864 12691]]",0.13576178,3.44010066986084,0.09357442
8,SEX,PINCP,k-anonymity,10,0.1,0.23377745011434053,0.1679173304546815,0.014116331065145427,0.1477004556980977,0.05744069121824247,0.7538600180234305,0.7589574630817203,0.7484769364664926,0.7697356644191181,0.7537505374300539,"[[12196  4335]
 [ 3859 12900]]",0.12375134,3.127703694062413,0.08780461
9,SEX,PINCP,k-anonymity,10,0.1,0.23199909738811292,0.1656304453607299,0.013341758164020723,0.15029488565927254,0.06227352385012286,0.7479122859717633,0.7540445486518171,0.7364323334096634,0.7725198174393466,0.7479019330014379,"[[12034  4604]
 [ 3788 12864]]",0.11907007,2.944622828212663,0.08581839
10,SEX,PINCP,k-anonymity,10,0.1,0.23637860112307185,0.1765843985195099,0.014224808260370425,0.14415802684255552,0.05811354769979804,0.7542204866326224,0.7544122943930843,0.7497762663325577,0.759106010268801,0.7542467607364322,"[[12541  4194]
 [ 3988 12567]]",0.119806014,2.4845904371960117,0.0863624
11,SEX,PINCP,k-anonymity,10,0.1,0.23894387614394436,0.17344003866533397,0.011638767744692746,0.14620500616593823,0.06102927296361249,0.7568038449984981,0.7557915057915059,0.7457142857142857,0.7661448140900196,0.756965428653228,"[[12666  4272]
 [ 3824 12528]]",0.11716669,2.9069632250866015,0.08519509
12,SEX,PINCP,k-anonymity,10,0.1,0.2351096872638388,0.1818404483993583,0.018386998795916987,0.14573105597917116,0.06320573685718911,0.7471613097026134,0.7490084985835694,0.7361233221968232,0.7623527983489135,0.7473157902305938,"[[12314  4502]
 [ 3915 12559]]",0.11657197,2.435210704803467,0.0840293
13,SEX,PINCP,k-anonymity,10,0.1,0.22831563701948349,0.16975015329472565,0.01810080836343253,0.14159889847812349,0.05750226597255703,0.7545208771402824,0.7600281905209373,0.7457929921622868,0.7748173871392647,0.7544511338879347,"[[12177  4411]
 [ 3761 12941]]",0.124153614,2.9189813137054443,0.08714764
14,SEX,PINCP,k-anonymity,10,0.1,0.2265066975840882,0.16961404534354552,0.01833544516176977,0.13751717263978913,0.06325819132008104,0.7516070892159807,0.7553477913547738,0.74279895257492,0.7683279162152402,0.7516381725475338,"[[12256  4420]
 [ 3849 12765]]",0.12241344,2.6150810690972017,0.0869043
15,SEX,PINCP,k-anonymity,10,0.1,0.22283698611906078,0.1651882440203465,0.021358637567804983,0.12953664778347426,0.07123135903461009,0.7522679483328327,0.7570624797478422,0.7455758630693357,0.7689085686931546,0.7522006952525973,"[[12193  4385]
 [ 3862 12850]]",0.11956703,3.2898023738670523,0.08623537
16,SEX,PINCP,k-anonymity,10,0.1,0.2179457316160866,0.1594618289858557,0.01733975620858097,0.12812325338815223,0.06685403045011051,0.7520276359267047,0.7552551217053574,0.7464689679423313,0.764250570022801,0.7520121955022571,"[[12298  4326]
 [ 3929 12737]]",0.12261871,2.8760910995169877,0.08849858
17,SEX,PINCP,k-anonymity,10,0.1,0.22486766398158808,0.15812145935264954,0.010844279914019594,0.1433654918121679,0.05980128514624139,0.7514568939621508,0.7559148032332291,0.7393386808240522,0.7732512523387048,0.751555953302897,"[[12204  4517]
 [ 3757 12812]]",0.12888849,3.226771116256714,0.0918823
